logID,fightID,encounterID,sourceID,timestamp.x,abilityGameID.x,delayms.x,row_number,timestamp.y,abilityGameID.y,delayms.y,indicator,total_delay,encounterName
19cG8bnr2K6JDVPa,1,100624,16,3075371,27014,414,1,3076282,34120,911,1,1325,<b><span style='color:#005F73;'>Lurker</span></b>
19cG8bnr2K6JDVPa,1,100624,16,3075381,1,424,2,3076282,34120,901,1,1325,<b><span style='color:#005F73;'>Lurker</span></b>
19cG8bnr2K6JDVPa,1,100624,16,3080269,1,1073,3,3081316,75,1047,1,2120,<b><span style='color:#005F73;'>Lurker</span></b>
19cG8bnr2K6JDVPa,1,100624,16,3082865,27014,464,4,3083542,34120,677,1,1141,<b><span style='color:#005F73;'>Lurker</span></b>
19cG8bnr2K6JDVPa,1,100624,16,3085078,1,896,5,3085312,75,234,1,1130,<b><span style='color:#005F73;'>Lurker</span></b>
19cG8bnr2K6JDVPa,1,100624,16,3087995,1,460,6,3088252,75,257,1,717,<b><span style='color:#005F73;'>Lurker</span></b>
19cG8bnr2K6JDVPa,1,100624,16,3092754,27014,1272,7,3093087,75,333,1,1605,<b><span style='color:#005F73;'>Lurker</span></b>
19cG8bnr2K6JDVPa,1,100624,16,3096172,1,403,8,3096453,75,281,1,684,<b><span style='color:#005F73;'>Lurker</span></b>
19cG8bnr2K6JDVPa,1,100624,16,3099674,27014,148,9,3100212,34120,538,1,686,<b><span style='color:#005F73;'>Lurker</span></b>
19cG8bnr2K6JDVPa,1,100624,16,3102784,1,329,10,3103032,75,248,1,577,<b><span style='color:#005F73;'>Lurker</span></b>
19cG8bnr2K6JDVPa,1,100624,16,3107263,27014,640,11,3107413,27019,150,1,790,<b><span style='color:#005F73;'>Lurker</span></b>
19cG8bnr2K6JDVPa,1,100624,16,3107278,1,655,12,3107413,27019,135,1,790,<b><span style='color:#005F73;'>Lurker</span></b>
19cG8bnr2K6JDVPa,1,100624,16,3125593,27014,1015,14,3126287,75,694,1,1709,<b><span style='color:#005F73;'>Lurker</span></b>
19cG8bnr2K6JDVPa,1,100624,16,3138011,27014,687,15,3139347,75,1336,1,2023,<b><span style='color:#005F73;'>Lurker</span></b>
19cG8bnr2K6JDVPa,1,100624,16,3142018,1,194,16,3142514,34120,496,1,690,<b><span style='color:#005F73;'>Lurker</span></b>
19cG8bnr2K6JDVPa,1,100624,16,3145625,27014,469,17,3145896,75,271,1,740,<b><span style='color:#005F73;'>Lurker</span></b>
19cG8bnr2K6JDVPa,1,100624,16,3145631,1,475,18,3145896,75,265,1,740,<b><span style='color:#005F73;'>Lurker</span></b>
19cG8bnr2K6JDVPa,1,100624,16,3151572,1,477,19,3151800,75,228,1,705,<b><span style='color:#005F73;'>Lurker</span></b>
19cG8bnr2K6JDVPa,1,100624,16,3155420,27014,1134,20,3155983,34120,563,1,1697,<b><span style='color:#005F73;'>Lurker</span></b>
19cG8bnr2K6JDVPa,1,100624,16,3160167,1,422,21,3160655,34120,488,1,910,<b><span style='color:#005F73;'>Lurker</span></b>
19cG8bnr2K6JDVPa,1,100624,16,3164427,27014,200,22,3165165,34120,738,1,938,<b><span style='color:#005F73;'>Lurker</span></b>
19cG8bnr2K6JDVPa,1,100624,16,3175234,27014,1989,23,3175833,75,599,1,2588,<b><span style='color:#005F73;'>Lurker</span></b>
19cG8bnr2K6JDVPa,1,100624,16,3182250,27014,539,24,3182498,75,248,1,787,<b><span style='color:#005F73;'>Lurker</span></b>
19cG8bnr2K6JDVPa,1,100624,16,3226989,27014,671,25,3228116,75,1127,1,1798,<b><span style='color:#005F73;'>Lurker</span></b>
19cG8bnr2K6JDVPa,16,100623,16,4503973,27014,443,1,4504899,75,926,1,1369,<b><span style='color:#005F73;'>Hydross</span></b>
19cG8bnr2K6JDVPa,16,100623,16,4509114,1,223,2,4509595,75,481,1,704,<b><span style='color:#005F73;'>Hydross</span></b>
19cG8bnr2K6JDVPa,16,100623,16,4511390,27014,585,3,4511666,75,276,1,861,<b><span style='color:#005F73;'>Hydross</span></b>
19cG8bnr2K6JDVPa,16,100623,16,4514348,1,201,4,4515022,34120,674,1,875,<b><span style='color:#005F73;'>Hydross</span></b>
19cG8bnr2K6JDVPa,16,100623,16,4516625,1,1050,5,4517102,34120,477,1,1527,<b><span style='color:#005F73;'>Hydross</span></b>
19cG8bnr2K6JDVPa,16,100623,16,4518800,27014,1144,6,4519081,75,281,1,1425,<b><span style='color:#005F73;'>Hydross</span></b>
19cG8bnr2K6JDVPa,16,100623,16,4521590,1,291,7,4521873,75,283,1,574,<b><span style='color:#005F73;'>Hydross</span></b>
19cG8bnr2K6JDVPa,16,100623,16,4524753,1,628,8,4525017,75,264,1,892,<b><span style='color:#005F73;'>Hydross</span></b>
19cG8bnr2K6JDVPa,16,100623,16,4528309,27014,169,9,4530489,34120,2180,1,2349,<b><span style='color:#005F73;'>Hydross</span></b>
19cG8bnr2K6JDVPa,16,100623,16,4534408,27014,476,10,4535197,75,789,1,1265,<b><span style='color:#005F73;'>Hydross</span></b>
19cG8bnr2K6JDVPa,16,100623,16,4540843,27014,448,11,4541766,75,923,1,1371,<b><span style='color:#005F73;'>Hydross</span></b>
